DID,SSN,ITEMID
547,15451534,24
548,15451535,24
549,15451536,24
550,15451537,24
551,15451538,24
552,15451539,24
553,15451540,24
554,15451541,24
555,15451542,24
556,15451543,24
557,15451544,24
558,15451545,24
559,15451546,24
560,15451547,24
561,15451548,24
562,15451549,24
563,15451550,24
564,15451551,24
565,15451552,24
566,15451553,24
567,15451554,24
568,15451555,24
569,15451556,24
570,15451557,24
571,15451558,24
572,15451559,24
573,15451560,24
574,15451561,24
575,15451562,24
576,15451563,24
577,15451564,24
578,15451565,24
579,15451566,24
580,15451567,24
581,15451568,24
582,15451569,24
583,15451570,24
584,15451571,24
585,15451572,24
586,15451573,24
587,15451574,24
588,15451575,24
589,15451576,24
590,15451577,24
591,15451578,24
592,15451579,24
593,15451580,24
594,15451581,24
595,15451582,24
596,15451583,24
597,15451584,24
598,15451585,24
599,15451586,24
600,15451587,24
601,15451588,24
602,15451589,24
603,15451590,24
604,15451591,24
605,15451592,24
606,15451593,24
607,15451594,24
608,15451595,24
609,15451596,24
610,15451597,24
611,15451598,24
612,15451599,24
613,15451600,24
614,15451601,24
615,15451602,24
616,15451603,24
617,15451604,24
618,15451605,24
619,15451606,24
620,15451607,24
621,15451608,24
622,15451609,24
623,15451610,24
624,15451611,24
625,15451612,24
626,15451613,24
627,15451614,24
628,15451615,24
629,15451616,24
630,15451617,24
631,15451618,24
632,15451619,24
633,15451620,24
634,15451621,24
635,15451622,24
636,15451623,24
637,15451624,24
638,15451625,24
639,15451626,24
640,15451627,24
641,15451628,24
642,15451629,24
643,15451630,24
644,15451631,24
645,15451632,24
646,15451633,24
647,15451634,24
648,15451635,24
649,15451636,24
650,15451637,24
651,15451638,24
652,15451639,24
653,15451640,24
654,15451641,24
655,15451642,24
656,15451643,24
657,15451644,24
658,15451645,24
659,15451646,24
660,15451647,24
661,15451648,24
662,15451649,24
663,15451650,24
664,15451651,24
665,15451652,24
666,15451653,24
667,15451654,24
668,15451655,24
669,15451656,24
670,15451657,24
671,15451658,24
672,15451659,24
673,15451660,24
674,15451661,24
675,15451662,24
676,15451663,24
677,15451664,24
678,15451665,24
679,15451666,24
680,15451667,24
681,15451668,24
682,15451669,24
683,15451670,24
684,15451671,24
685,15451672,24
686,15451673,24
687,15451674,24
688,15451675,24
689,15451676,24
690,15451677,24
691,15451678,24
692,15451679,24
693,15451680,24
694,15451681,24
695,15451682,24
696,15451683,24
697,15451684,24
698,15451685,24
699,15451686,24
700,15451687,24
701,15451688,24
702,15451689,24
703,15451690,24
704,15451691,24
705,15451692,24
706,15451693,24
707,15451694,24
708,15451695,24
709,15451696,24
710,15451697,24
711,15451698,24
712,15451699,24
713,15451700,24
714,15451701,24
715,15451702,24
716,15451703,24
717,15451704,24
718,15451705,24
719,15451706,24
720,15451707,24
721,15451708,24
722,15451709,24
723,15451710,24
724,15451711,24
725,15451712,24
726,15451713,24
727,15451714,24
728,15451715,24
729,15451716,24
730,15451717,24
731,15451718,24
732,15451719,24
733,15451720,24
734,15451721,24
735,15451722,24
736,15451723,24
737,15451724,24
738,15451725,24
739,15451726,24
740,15451727,24
741,15451728,24
742,15451729,24
743,15451730,24
744,15451731,24
745,15451732,24
746,15451733,24
747,15451734,24
748,15451735,24
749,15451736,24
750,15451737,24
751,15451738,24
752,15451739,24
753,15451740,24
754,15451741,24
755,15451742,24
756,15451743,24
757,15451744,24
758,15451745,24
759,15451746,24
760,15451747,24
761,15451748,24
762,15451749,24
763,15451750,24
764,15451751,24
765,15451752,24
766,15451753,24
767,15451754,24
768,15451755,24
769,15451756,24
770,15451757,24
771,15451758,24
772,15451759,24
773,15451760,24
774,15451761,24
775,15451762,24
776,15451763,24
777,15451764,24
778,15451765,24
779,15451766,24
780,15451767,24
781,15451768,24
782,15451769,24
783,15451770,24
784,15451771,24
785,15451772,24
786,15451773,24
787,15451774,24
788,15451775,24
789,15451776,24
790,15451777,24
791,15451778,24
792,15451779,24
793,15451780,24
794,15451781,24
795,15451782,24
796,15451783,24
797,15451784,24
798,15451785,24
799,15451786,24
800,15451787,24
801,15451788,24
802,15451789,24
803,15451790,24
804,15451791,24
805,15451792,24
806,15451793,24
807,15451794,24
808,15451795,24
809,15451796,24
810,15451797,24
811,15451798,24
812,15451799,24
813,15451800,24
814,15451801,24
815,15451802,24
816,15451803,24
817,15451804,24
818,15451805,24
819,15451806,24
820,15451807,24
821,15451808,24
822,15451809,24
823,15451810,24
824,15451811,24
825,15451812,24
826,15451813,24
827,15451814,24
828,15451815,24
829,15451816,24
830,15451817,24
831,15451818,24
832,15451819,24
833,15451820,24
834,15451821,24
835,15451822,24
836,15451823,24
837,15451824,24
838,15451825,24
839,15451826,24
840,15451827,24
841,15451828,24
842,15451829,24
843,15451830,24
844,15451831,24
845,15451832,24
846,15451833,24
847,15451834,24
848,15451835,24
849,15451836,24
850,15451837,24
851,15451838,24
852,15451839,24
853,15451840,24
854,15451841,24
855,15451842,24
856,15451843,24
857,15451844,24
858,15451845,24
859,15451846,24
860,15451847,24
861,15451848,24
862,15451849,24
863,15451850,24
864,15451851,24
865,15451852,24
866,15451853,24
867,15451854,24
868,15451855,24
869,15451856,24
870,15451857,24
871,15451858,24
872,15451859,24
873,15451860,24
874,15451861,24
875,15451862,24
876,15451863,24
877,15451864,24
878,15451865,24
879,15451866,24
880,15451867,24
881,15451868,24
882,15451869,24
883,15451870,24
884,15451871,24
885,15451872,24
886,15451873,24
887,15451874,24
888,15451875,24
889,15451876,24
890,15451877,24
891,15451878,24
892,15451879,24
893,15451880,24
894,15451881,24
895,15451882,24
896,15451883,24
897,15451884,24
898,15451885,24
899,15451886,24
900,15451887,24
901,15451888,24
902,15451889,24
903,15451890,24
904,15451891,24
905,15451892,24
906,15451893,24
907,15451894,24
908,15451895,24
909,15451896,24
910,15451897,24
911,15451898,24
912,15451899,24
913,15451900,24
914,15451901,24
915,15451902,24
916,15451903,24
917,15451904,24
918,15451905,24
919,15451906,24
920,15451907,24
921,15451908,24
922,15451909,24
923,15451910,24
924,15451911,24
925,15451912,24
926,15451913,24
927,15451914,24
928,15451915,24
929,15451916,24
930,15451917,24
931,15451918,24
932,15451919,24
933,15451920,24
934,15451921,24
935,15451922,24
936,15451923,24
937,15451924,24
938,15451925,24
939,15451926,24
940,15451927,24
941,15451928,24
942,15451929,24
943,15451930,24
944,15451931,24
945,15451932,24
946,15451933,24
947,15451934,24
948,15451935,24
949,15451936,24
950,15451937,24
951,15451938,24
952,15451939,24
953,15451940,24
954,15451941,24
955,15451942,24
956,15451943,24
957,15451944,24
958,15451945,24
959,15451946,24
960,15451947,24
961,15451948,24
962,15451949,24
963,15451950,24
964,15451951,24
965,15451952,24
966,15451953,24
967,15451954,24
968,15451955,24
969,15451956,24
970,15451957,24
971,15451958,24
972,15451959,24
973,15451960,24
974,15451961,24
975,15451962,24
976,15451963,24
977,15451964,24
978,15451965,24
979,15451966,24
980,15451967,24
981,15451968,24
982,15451969,24
983,15451970,24
984,15451971,24
985,15451972,24
986,15451973,24
987,15451974,24
988,15451975,24
989,15451976,24
990,15451977,24
991,15451978,24
992,15451979,24
993,15451980,24
994,15451981,24
995,15451982,24
996,15451983,24
997,15451984,24
998,15451985,24
999,15451986,24
1000,15451987,24
1001,15451988,24
1002,15451989,24
1003,15451990,24
1004,15451991,24
1005,15451992,24
1006,15451993,24
1007,15451994,24
1008,15451995,24
1009,15451996,24
1010,15451997,24
1011,15451998,24
1012,15451999,24
1013,15452000,24
1014,15452001,24
1015,15452002,24
1016,15452003,24
1017,15452004,24
1018,15452005,24
1019,15452006,24
1020,15452007,24
1021,15452008,24
1022,15452009,24
1023,15452010,24
1024,15452011,24
1025,15452012,24
1026,15452013,24
1027,15452014,24
1028,15452015,24
1029,15452016,24
1030,15452017,24
1031,15452018,24
1032,15452019,24
1033,15452020,24
1034,15452021,24
1035,15452022,24
1036,15452023,24
1037,15452024,24
1038,15452025,24
1039,15452026,24
1040,15452027,24
1041,15452028,24
1042,15452029,24
1043,15452030,24
1044,15452031,24
1045,15452032,24
1046,15452033,24
1047,15452034,24
1048,15452035,24
1049,15452036,24
1050,15452037,24
1051,15452038,24
1052,15452039,24
1053,15452040,24
1054,15452041,24
1055,15452042,24
1056,15452043,24
1057,15452044,24
1058,15452045,24
1059,15452046,24
1060,15452047,24
1061,15452048,24
1062,15452049,24
1063,15452050,24
1064,15452051,24
1065,15452052,24
1066,15452053,24
1067,15452054,24
1068,15452055,24
1069,15452056,24
1070,15452057,24
1071,15452058,24
1072,15452059,24
1073,15452060,24
1074,15452061,24
1075,15452062,24
1076,15452063,24
1077,15452064,24
1078,15452065,24
1079,15452066,24
1080,15452067,24
1081,15452068,24
1082,15452069,24
1083,15452070,24
1084,15452071,24
1085,15452072,24
1086,15452073,24
1087,15452074,24
1088,15452075,24
1089,15452076,24
1090,15452077,24
1091,15452078,24
1092,15452079,24
1093,15452080,24
1094,15452081,24
1095,15452082,24
1096,15452083,24
1097,15452084,24
1098,15452085,24
1099,15452086,24
1100,15452087,24
1101,15452088,24
1102,15452089,24
1103,15452090,24
1104,15452091,24
1105,15452092,24
1106,15452093,24
1107,15452094,24
1108,15452095,24
1109,15452096,24
1110,15452097,24
1111,15452098,24
1112,15452099,24
1113,15452100,24
1114,15452101,24
1115,15452102,24
1116,15452103,24
1117,15452104,24
1118,15452105,24
1119,15452106,24
1120,15452107,24
1121,15452108,24
1122,15452109,24
1123,15452110,24
1124,15452111,24
1125,15452112,24
1126,15452113,24
1127,15452114,24
1128,15452115,24
1129,15452116,24
1130,15452117,24
1131,15452118,24
1132,15452119,24
1133,15452120,24
1134,15452121,24
1135,15452122,24
1136,15452123,24
1137,15452124,24
1138,15452125,24
1139,15452126,24
1140,15452127,24
1141,15452128,24
1142,15452129,24
1143,15452130,24
1144,15452131,24
1145,15452132,24
1146,15452133,24
1147,15452134,24
1148,15452135,24
1149,15452136,24
1150,15452137,24
1151,15452138,24
1152,15452139,24
1153,15452140,24
1154,15452141,24
1155,15452142,24
1156,15452143,24
1157,15452144,24
1158,15452145,24
1159,15452146,24
1160,15452147,24
1161,15452148,24
1162,15452149,24
1163,15452150,24
1164,15452151,24
1165,15452152,24
1166,15452153,24
1167,15452154,24
1168,15452155,24
1169,15452156,24
1170,15452157,24
1171,15452158,24
1172,15452159,24
1173,15452160,24
1174,15452161,24
1175,15452162,24
1176,15452163,24
1177,15452164,24
1178,15452165,24
1179,15452166,24
1180,15452167,24
1181,15452168,24
1182,15452169,24
1183,15452170,24
1184,15452171,24
1185,15452172,24
1186,15452173,24
1187,15452174,24
1188,15452175,24
1189,15452176,24
1190,15452177,24
1191,15452178,24
1192,15452179,24
1193,15452180,24
1194,15452181,24
1195,15452182,24
1196,15452183,24
1197,15452184,24
1198,15452185,24
1199,15452186,24
1200,15452187,24
1201,15452188,24
1202,15452189,24
1203,15452190,24
1204,15452191,24
1205,15452192,24
1206,15452193,24
1207,15452194,24
1208,15452195,24
1209,15452196,24
1210,15452197,24
1211,15452198,24
1212,15452199,24
1213,15452200,24
1214,15452201,24
1215,15452202,24
1216,15452203,24
1217,15452204,24
1218,15452205,24
1219,15452206,24
1220,15452207,24
1221,15452208,24
1222,15452209,24
1223,15452210,24
1224,15452211,24
1225,15452212,24
1226,15452213,24
1227,15452214,24
1228,15452215,24
1229,15452216,24
1230,15452217,24
1231,15452218,24
1232,15452219,24
1233,15452220,24
1234,15452221,24
1235,15452222,24
1236,15452223,24
1237,15452224,24
1238,15452225,24
1239,15452226,24
1240,15452227,24
1241,15452228,24
1242,15452229,24
1243,15452230,24
1244,15452231,24
1245,15452232,24
1246,15452233,24
1247,15452234,24
1248,15452235,24
1249,15452236,24
1250,15452237,24
1251,15452238,24
1252,15452239,24
1253,15452240,24
1254,15452241,24
1255,15452242,24
1256,15452243,24
1257,15452244,24
1258,15452245,24
1259,15452246,24
1260,15452247,24
1261,15452248,24
1262,15452249,24
1263,15452250,24
1264,15452251,24
1265,15452252,24
1266,15452253,24
1267,15452254,24
1268,15452255,24
1269,15452256,24
1270,15452257,24
1271,15452258,24
1272,15452259,24
1273,15452260,24
1274,15452261,24
1275,15452262,24
1276,15452263,24
1277,15452264,24
1278,15452265,24
1279,15452266,24
1280,15452267,24
1281,15452268,24
1282,15452269,24
1283,15452270,24
1284,15452271,24
1285,15452272,24
1286,15452273,24
1287,15452274,24
1288,15452275,24
1289,15452276,24
1290,15452277,24
1291,15452278,24
1292,15452279,24
1293,15452280,24
1294,15452281,24
1295,15452282,24
1296,15452283,24
1297,15452284,24
1298,15452285,24
1299,15452286,24
1300,15452287,24
1301,15452288,24
1302,15452289,24
1303,15452290,24
1304,15452291,24
1305,15452292,24
1306,15452293,24
1307,15452294,24
1308,15452295,24
1309,15452296,24
1310,15452297,24
1311,15452298,24
1312,15452299,24
1313,15452300,24
1314,15452301,24
1315,15452302,24
1316,15452303,24
1317,15452304,24
1318,15452305,24
1319,15452306,24
1320,15452307,24
1321,15452308,24
1322,15452309,24
1323,15452310,24
1324,15452311,24
1325,15452312,24
1326,15452313,24
1327,15452314,24
1328,15452315,24
1329,15452316,24
1330,15452317,24
1331,15452318,24
1332,15452319,24
1333,15452320,24
1334,15452321,24
1335,15452322,24
1336,15452323,24
1337,15452324,24
1338,15452325,24
1339,15452326,24
1340,15452327,24
1341,15452328,24
1342,15452329,24
1343,15452330,24
1344,15452331,24
1345,15452332,24
1346,15452333,24
1347,15452334,24
1348,15452335,24
1349,15452336,24
1350,15452337,24
1351,15452338,24
1352,15452339,24
1353,15452340,24
1354,15452341,24
1355,15452342,24
1356,15452343,24
1357,15452344,24
1358,15452345,24
1359,15452346,24
1360,15452347,24
1361,15452348,24
1362,15452349,24
1363,15452350,24
1364,15452351,24
1365,15452352,24
1366,15452353,24
1367,15452354,24
1368,15452355,24
1369,15452356,24
1370,15452357,24
1371,15452358,24
1372,15452359,24
1373,15452360,24
1374,15452361,24
1375,15452362,24
1376,15452363,24
1377,15452364,24
1378,15452365,24
1379,15452366,24
1380,15452367,24
1381,15452368,24
1382,15452369,24
1383,15452370,24
1384,15452371,24
1385,15452372,24
1386,15452373,24
1387,15452374,24
1388,15452375,24
1389,15452376,24
1390,15452377,24
1391,15452378,24
1392,15452379,24
1393,15452380,24
1394,15452381,24
1395,15452382,24
1396,15452383,24
1397,15452384,24
1398,15452385,24
1399,15452386,24
1400,15452387,24
1401,15452388,24
1402,15452389,24
1403,15452390,24
1404,15452391,24
1405,15452392,24
1406,15452393,24
1407,15452394,24
1408,15452395,24
1409,15452396,24
1410,15452397,24
1411,15452398,24
1412,15452399,24
1413,15452400,24
1414,15452401,24
1415,15452402,24
1416,15452403,24
1417,15452404,24
1418,15452405,24
1419,15452406,24
1420,15452407,24
1421,15452408,24
1422,15452409,24
1423,15452410,24
1424,15452411,24
1425,15452412,24
1426,15452413,24
1427,15452414,24
1428,15452415,24
1429,15452416,24
1430,15452417,24
1431,15452418,24
1432,15452419,24
1433,15452420,24
1434,15452421,24
1435,15452422,24
1436,15452423,24
1437,15452424,24
1438,15452425,24
1439,15452426,24
1440,15452427,24
1441,15452428,24
1442,15452429,24
1443,15452430,24
1444,15452431,24
1445,15452432,24
1446,15452433,24
1447,15452434,24
1448,15452435,24
1449,15452436,24
1450,15452437,24
1451,15452438,24
1452,15452439,24
1453,15452440,24
1454,15452441,24
1455,15452442,24
1456,15452443,24
1457,15452444,24
1458,15452445,18
1459,15452446,19
1460,15452447,20
1461,15452448,21
1462,15452449,22
1463,15452450,23
1464,15452451,24
1465,15452452,25
1466,15452453,26
1467,15452454,27
1468,15452455,28
1469,15452456,29
1470,15452457,30
1471,15452458,1
1472,15452459,2
1473,15452460,3
1474,15452461,4
1475,15452462,5
1476,15452463,6
1477,15452464,7
1478,15452465,8
1479,15452466,9
1480,15452467,10
1481,15452468,11
1482,15452469,12
1483,15452470,13
1484,15452471,14
1485,15452472,15
1486,15452473,16
1487,15452474,17
1488,15452475,18
1489,15452476,19
1490,15452477,20
1491,15452478,21
1492,15452479,22
1493,15452480,23
1494,15452481,24
1495,15452482,25
1496,15452483,26
1497,15452484,27
1498,15452485,28
1499,15452486,29
1500,15452487,30
1501,15452488,1
1502,15452489,2
1503,15452490,3
1504,15452491,4
1505,15452492,5
1506,15452493,6
1507,15452494,7
1508,15452495,8
1509,15452496,9
1510,15452497,10
1511,15452498,11
1512,15452499,12
1513,15452500,13
1514,15452501,14
1515,15452502,15
1516,15452503,16
1517,15452504,17
1518,15452505,18
1519,15452506,19
1520,15452507,20
1521,15452508,21
1522,15452509,22
1523,15452510,23
1524,15452511,24
1525,15452512,25
1526,15452513,26
1527,15452514,27
1528,15452515,28
1529,15452516,29
1530,15452517,30
1531,15452518,1
1532,15452519,2
1533,15452520,3
1534,15452521,4
1535,15452522,5
1536,15452523,6
1537,15452524,7
1538,15452525,8
1539,15452526,9
1540,15452527,10
1541,15452528,11
1542,15452529,12
1543,15452530,13
1544,15452531,14
1545,15452532,15
1546,15452533,16
1547,15452534,17
1548,15452535,18
1549,15452536,19
1550,15452537,20
1551,15452538,21
1552,15452539,22
1553,15452540,23
1554,15452541,24
1555,15452542,25
1556,15452543,26
1557,15452544,27
1558,15452545,28
1559,15452546,29
1560,15452547,30
1561,15452548,1
1562,15452549,2
1563,15452550,3
1564,15452551,4
1565,15452552,5
1566,15452553,6
1567,15452554,7
1568,15452555,8
1569,15452556,9
1570,15452557,10
1571,15452558,11
1572,15452559,12
1573,15452560,13
1574,15452561,14
1575,15452562,15
1576,15452563,16
1577,15452564,17
1578,15452565,18
1579,15452566,19
1580,15452567,20
1581,15452568,21
1582,15452569,22
1583,15452570,23
1584,15452571,24
1585,15452572,25
1586,15452573,26
1587,15452574,27
1588,15452575,28
1589,15452576,29
1590,15452577,30
1591,15452578,1
1592,15452579,2
1593,15452580,3
1594,15452581,4
1595,15452582,5
1596,15452583,6
1597,15452584,7
1598,15452585,8
1599,15452586,9
1600,15452587,10
1601,15452588,11
1602,15452589,12
1603,15452590,13
1604,15452591,14
1605,15452592,15
1606,15452593,16
1607,15452594,17
1608,15452595,18
1609,15452596,19
1610,15452597,20
1611,15452598,21
1612,15452599,22
1613,15452600,23
1614,15452601,24
1615,15452602,25
1616,15452603,26
1617,15452604,27
1618,15452605,28
1619,15452606,29
1620,15452607,30
1621,15452608,1
1622,15452609,2
1623,15452610,3
1624,15452611,4
1625,15452612,5
1626,15452613,6
1627,15452614,7
1628,15452615,8
1629,15452616,9
1630,15452617,10
1631,15452618,11
1632,15452619,12
1633,15452620,13
1634,15452621,14
1635,15452622,15
1636,15452623,16
1637,15452624,17
1638,15452625,18
1639,15452626,19
1640,15452627,20
1641,15452628,21
1642,15452629,22
1643,15452630,23
1644,15452631,24
1645,15452632,25
1646,15452633,26
1647,15452634,27
1648,15452635,28
1649,15452636,29
1650,15452637,30
1651,15452638,1
1652,15452639,2
1653,15452640,3
1654,15452641,4
1655,15452642,5
1656,15452643,6
1657,15452644,7
1658,15452645,8
1659,15452646,9
1660,15452647,10
1661,15452648,11
1662,15452649,12
1663,15452650,13
